cell_id,Cycle,Q_measured,Q_exp_fit,Q_sqrt_fit
Cell_1,3.0,1.644,1.7266350974117182,1.7856169346030957
Cell_1,4.0,1.627,1.7013723124152502,1.7401457450814484
Cell_1,5.0,1.621,1.6764806217316273,1.7000848229062706
Cell_1,6.0,1.601,1.6519545742204047,1.663866980825108
Cell_1,7.0,1.59,1.6277887988149398,1.6305612377244498
Cell_1,8.0,1.577,1.6039780033461566,1.5995610079063571
Cell_1,9.0,1.562,1.580516973383592,1.5704449555060673
Cell_1,10.0,1.555,1.5574005710934633,1.5429063084450478
Cell_1,11.0,1.539,1.5346237341135132,1.5167134785836165
Cell_1,12.0,1.522,1.5121814744443796,1.4916865449739807
Cell_1,13.0,1.502,1.490068877357252,1.4676824259314492
Cell_1,14.0,1.495,1.468281100317574,1.4445851113761154
Cell_1,15.0,1.474,1.4468133719245548,1.42229899236851
Cell_1,16.0,1.459,1.4256609908662599,1.400744165930686
Cell_1,17.0,1.443,1.4048193248900496,1.3798530440621977
Cell_1,18.0,1.424,1.3842838097881414,1.3595678497434305
Cell_1,19.0,1.404,1.3640499483980755,1.3398387318340634
Cell_1,20.0,1.389,1.3441133096178601,1.3206223215803308
Cell_1,21.0,1.371,1.3244695274355855,1.3018806105092535
Cell_1,22.0,1.355,1.3051142999732925,1.2835800663533634
Cell_1,23.0,1.335,1.2860433885448839,1.2656909280555393
Cell_1,24.0,1.313,1.2672526167278775,1.2481866374180055
Cell_1,25.0,1.293,1.2487378694487925,1.2310433763553048
Cell_1,26.0,1.272,1.2304950920819708,1.2142396867152392
Cell_1,27.0,1.251,1.212520289561639,1.1977561553448655
Cell_1,28.0,1.23,1.194809525507008,1.181575151216689
Cell_1,29.0,1.207,1.1773589213602307,1.1656806044679302
Cell_1,30.0,1.188,1.1601646555370182,1.1500578194634727
Cell_1,31.0,1.169,1.143222962589735,1.1346933156902872
Cell_1,32.0,1.15,1.1265301323827859,1.1195746915805036
Cell_1,33.0,1.13,1.1100825092801188,1.1046905073494662
Cell_1,34.0,1.114,1.0938764913446597,1.0900301837008983
Cell_1,35.0,1.092,1.0779085295495097,1.0755839138492562
Cell_1,36.0,1.073,1.0621751270007265,1.0613425867799238
Cell_1,37.0,1.059,1.046672838171526,1.0472977200410596
