cell_id,Cycle,C_rate_mean,C_rate_max,Charge_Ah,Discharge_Ah,Coulombic_Efficiency_%,Cycle_Duration_s,Energy_Throughput_Wh,Temp_Min_C,Temp_Mean_C,Temp_Max_C,Num_points,Delta_Q
Cell_1,3,1.934738471673255,2.404,1.647,1.644,99.81785063752277,3064.0,12.371861719138888,,,,3036,-0.018000000000000016
Cell_1,4,1.9271717087765963,2.404,1.633,1.627,99.63257807715861,3043.0,12.263727761194446,,,,3008,-0.016999999999999904
Cell_1,5,1.923337757133378,2.404,1.625,1.621,99.75384615384615,3031.0,12.204228456194445,,,,3014,-0.006000000000000005
Cell_1,6,1.9235098662207364,2.404,1.607,1.601,99.62663347853142,3004.0,12.060152341750001,,,,2990,-0.020000000000000018
Cell_1,7,1.9183318120351593,2.404,1.598,1.59,99.49937421777221,2988.0,11.99007239588889,,,,2958,-0.010999999999999899
Cell_1,8,1.918426698861677,2.404,1.583,1.577,99.62097283638661,2966.0,11.873216323555557,,,,2899,-0.013000000000000123
Cell_1,9,1.9063250172057815,2.404,1.57,1.562,99.49044585987261,2946.0,11.766889257944445,,,,2906,-0.014999999999999902
Cell_1,10,1.9048215395236454,2.404,1.562,1.555,99.5518565941101,2935.0,11.718107844750001,,,,2897,-0.007000000000000117
Cell_1,11,1.9041887613082815,2.404,1.548,1.539,99.41860465116278,2914.0,11.610907835472222,,,,2874,-0.016000000000000014
Cell_1,12,1.8986618162692852,2.404,1.531,1.522,99.41214892227303,2886.0,11.465566170305557,,,,2852,-0.016999999999999904
Cell_1,13,1.9006862326574179,2.404,1.51,1.502,99.47019867549669,2857.0,11.316570307805556,,,,2811,-0.020000000000000018
Cell_1,14,1.9020435092724686,2.404,1.504,1.495,99.40159574468086,2846.0,11.269560995472222,,,,2804,-0.006999999999999895
Cell_1,15,1.8921133595988542,2.404,1.483,1.474,99.39312204989884,2815.0,11.111907383333333,,,,2792,-0.02100000000000013
Cell_1,16,1.8834881209503247,2.404,1.468,1.459,99.38692098092645,2792.0,10.985309690444446,,,,2778,-0.014999999999999902
Cell_1,17,1.883211531465988,2.404,1.452,1.443,99.38016528925621,2768.0,10.879754137861113,,,,2749,-0.016000000000000014
Cell_1,18,1.8790594059405947,2.404,1.435,1.424,99.23344947735191,2742.0,10.739918576305556,,,,2727,-0.019000000000000128
Cell_1,19,1.8732638321574457,2.404,1.414,1.404,99.29278642149929,2712.0,10.581854333166667,,,,2693,-0.020000000000000018
Cell_1,20,1.866395794217049,2.404,1.399,1.389,99.28520371694067,2688.0,10.465601429194445,,,,2663,-0.014999999999999902
Cell_1,21,1.8608280303030307,2.404,1.38,1.371,99.34782608695653,2660.0,10.32397848388889,,,,2640,-0.018000000000000016
Cell_1,22,1.857083142639207,2.404,1.367,1.355,99.12216532553035,2639.0,10.218938235638888,,,,2622,-0.016000000000000014
Cell_1,23,1.8535692515432103,2.404,1.344,1.335,99.33035714285712,2607.0,10.061726978944446,,,,2592,-0.020000000000000018
Cell_1,24,1.8435321386832886,2.404,1.324,1.313,99.1691842900302,2575.0,9.896955527527778,,,,2567,-0.02200000000000002
Cell_1,25,1.8376431388012622,2.404,1.303,1.293,99.23254029163469,2545.0,9.745362020944446,,,,2536,-0.020000000000000018
Cell_1,26,1.8275123604465713,2.404,1.281,1.272,99.29742388758783,2513.0,9.581007375944445,,,,2508,-0.020999999999999908
Cell_1,27,1.8190857605177997,2.404,1.261,1.251,99.20697858842189,2481.0,9.419620566666667,,,,2472,-0.02100000000000013
Cell_1,28,1.8145672801635992,2.404,1.241,1.23,99.1136180499597,2451.0,9.272062258027779,,,,2445,-0.020999999999999908
Cell_1,29,1.804341766901701,2.404,1.217,1.207,99.17830731306492,2416.0,9.090227784166668,,,,2411,-0.02299999999999991
Cell_1,30,1.7972944514501896,2.404,1.197,1.188,99.24812030075188,2387.0,8.937706552916667,,,,2379,-0.019000000000000128
Cell_1,31,1.7918625531914896,2.404,1.178,1.169,99.23599320882853,2357.0,8.790799132,,,,2350,-0.018999999999999906
Cell_1,32,1.7811712358572676,2.404,1.16,1.15,99.13793103448276,2331.0,8.660258722305556,,,,2298,-0.019000000000000128
Cell_1,33,1.7767071240105545,2.404,1.139,1.13,99.20983318700614,2300.0,8.498156880777778,,,,2274,-0.020000000000000018
